mode,band_low,band_high,n_uncertain,thr_policy,threshold,precision,recall,tp,fp,fn,tn,fnr,fpr,fdr
hog_only,1.0,1.0,0,auto95,0.15,0.13524317121918722,0.9806763285024155,406.0,2596.0,8.0,300.0,0.01932367149758454,0.8964088397790055,0.8647568287808127
hog_only,1.0,1.0,0,auto90,0.2,0.14834742505764797,0.9323671497584541,386.0,2216.0,28.0,680.0,0.06763285024154589,0.7651933701657458,0.851652574942352
hog_only,1.0,1.0,0,fixed,0.05,0.1259507149376331,1.0,414.0,2873.0,0.0,23.0,0.0,0.9920580110497238,0.8740492850623669
hog_only,1.0,1.0,0,fixed,0.08,0.1271551724137931,0.9975845410628019,413.0,2835.0,1.0,61.0,0.0024154589371980675,0.9789364640883977,0.8728448275862069
hog_only,1.0,1.0,0,fixed,0.1,0.12802983219390926,0.9951690821256038,412.0,2806.0,2.0,90.0,0.004830917874396135,0.9689226519337016,0.8719701678060907
hog_only,1.0,1.0,0,fixed,0.12,0.12988250238170848,0.9879227053140096,409.0,2740.0,5.0,156.0,0.012077294685990338,0.9461325966850829,0.8701174976182915
hog_only,1.0,1.0,0,fixed,0.15,0.13524317121918722,0.9806763285024155,406.0,2596.0,8.0,300.0,0.01932367149758454,0.8964088397790055,0.8647568287808127
hog_only,1.0,1.0,0,fixed,0.18,0.14234363767074049,0.9565217391304348,396.0,2385.9999999999995,18.0,510.00000000000045,0.043478260869565216,0.8238950276243092,0.8576563623292595
hog_only,1.0,1.0,0,fixed,0.2,0.14834742505764797,0.9323671497584541,386.0,2216.0,28.0,680.0,0.06763285024154589,0.7651933701657458,0.851652574942352
hog_only,1.0,1.0,0,fixed,0.23,0.15998311523849726,0.9154589371980676,379.0,1989.9999999999998,35.0,906.0000000000002,0.08454106280193237,0.6871546961325966,0.8400168847615027
hog_only,1.0,1.0,0,fixed,0.25,0.16651705565529623,0.8961352657004831,371.0,1857.0,43.0,1039.0,0.10386473429951691,0.6412292817679558,0.8334829443447038
hog_only,1.0,1.0,0,fixed,0.28,0.17317073170731706,0.857487922705314,355.0,1695.0000000000002,59.0,1200.9999999999998,0.14251207729468598,0.5852900552486189,0.826829268292683
hog_only,1.0,1.0,0,fixed,0.3,0.17725409836065573,0.8357487922705314,346.0,1606.0,68.0,1290.0,0.1642512077294686,0.5545580110497238,0.8227459016393442
hog_only,1.0,1.0,0,fixed,0.32,0.17882225823878983,0.7995169082125604,331.0,1520.0,83.0,1376.0,0.20048309178743962,0.5248618784530387,0.8211777417612102
hog_only,1.0,1.0,0,fixed,0.35,0.18171228887594643,0.7536231884057971,312.0,1405.0,102.0,1491.0,0.2463768115942029,0.48515193370165743,0.8182877111240536
hog_only,1.0,1.0,0,fixed,0.38,0.18356867779204109,0.6908212560386473,286.0,1271.9999999999998,128.0,1624.0000000000002,0.30917874396135264,0.4392265193370165,0.8164313222079589
hog_only,1.0,1.0,0,fixed,0.4,0.18360433604336043,0.6545893719806763,271.0,1205.0,143.0,1691.0,0.34541062801932365,0.41609116022099446,0.8163956639566395
hog_only,1.0,1.0,0,fixed,0.42,0.1837916063675832,0.6135265700483091,253.99999999999997,1128.0,160.00000000000003,1768.0,0.38647342995169087,0.38950276243093923,0.8162083936324168
hog_only,1.0,1.0,0,fixed,0.45,0.19273034657650043,0.5507246376811594,228.0,955.0,186.0,1941.0,0.4492753623188406,0.32976519337016574,0.8072696534234995
hog_only,1.0,1.0,0,fixed,0.48,0.204,0.4927536231884058,204.0,796.0000000000001,210.0,2100.0,0.5072463768115942,0.2748618784530387,0.796
hog_only,1.0,1.0,0,fixed,0.5,0.21149425287356322,0.4444444444444444,184.0,685.9999999999999,230.0,2210.0,0.5555555555555556,0.236878453038674,0.7885057471264367
band_0.05_0.35,0.05,0.35,1570,auto95,0.15,0.1643835616438356,0.9565217391304348,396.0,2013.0000000000002,18.0,882.9999999999998,0.043478260869565216,0.695096685082873,0.8356164383561644
band_0.05_0.35,0.05,0.35,1570,auto90,0.3,0.17435897435897435,0.9033816425120773,374.0,1771.0,40.0,1125.0,0.0966183574879227,0.6115331491712708,0.8256410256410256
band_0.05_0.35,0.05,0.35,1570,fixed,0.05,0.14778856526429343,0.9927536231884058,411.0,2369.9999999999995,3.0,526.0000000000005,0.007246376811594203,0.8183701657458562,0.8522114347357066
band_0.05_0.35,0.05,0.35,1570,fixed,0.08,0.15402124430955993,0.9806763285024155,406.0,2230.0,8.0,666.0,0.01932367149758454,0.7700276243093923,0.8459787556904401
band_0.05_0.35,0.05,0.35,1570,fixed,0.1,0.15754495699765442,0.9734299516908212,403.0,2155.0000000000005,11.0,740.9999999999995,0.026570048309178744,0.7441298342541438,0.8424550430023456
band_0.05_0.35,0.05,0.35,1570,fixed,0.12,0.16091492776886035,0.9685990338164251,401.0,2091.0,13.0,805.0,0.03140096618357488,0.7220303867403315,0.8390850722311396
band_0.05_0.35,0.05,0.35,1570,fixed,0.15,0.1643835616438356,0.9565217391304348,396.0,2013.0000000000002,18.0,882.9999999999998,0.043478260869565216,0.695096685082873,0.8356164383561644
band_0.05_0.35,0.05,0.35,1570,fixed,0.18,0.167876975651431,0.9492753623188406,393.0,1948.0,21.0,948.0,0.050724637681159424,0.6726519337016574,0.832123024348569
band_0.05_0.35,0.05,0.35,1570,fixed,0.2,0.1700650759219089,0.9468599033816425,392.0,1913.0,22.0,983.0,0.05314009661835749,0.6605662983425414,0.8299349240780911
band_0.05_0.35,0.05,0.35,1570,fixed,0.23,0.17221482467820684,0.9371980676328503,388.0,1865.0,26.0,1031.0,0.06280193236714976,0.6439917127071824,0.8277851753217932
band_0.05_0.35,0.05,0.35,1570,fixed,0.25,0.1731893837156995,0.9299516908212561,385.0,1838.0000000000002,29.0,1057.9999999999998,0.07004830917874397,0.6346685082872929,0.8268106162843005
band_0.05_0.35,0.05,0.35,1570,fixed,0.28,0.1740927882406982,0.9154589371980676,379.0,1798.0,35.0,1098.0,0.08454106280193237,0.6208563535911602,0.8259072117593018
band_0.05_0.35,0.05,0.35,1570,fixed,0.3,0.17435897435897435,0.9033816425120773,374.0,1771.0,40.0,1125.0,0.0966183574879227,0.6115331491712708,0.8256410256410256
band_0.05_0.35,0.05,0.35,1570,fixed,0.32,0.17452830188679244,0.893719806763285,370.0,1750.0,44.0,1146.0,0.10628019323671498,0.6042817679558011,0.8254716981132075
